id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Golden Hour Drive,Marina Vale,folk,nostalgic,0.58,96,0.72,0.68,0.81
12,Neon Skyline,Azura Lane,house,playful,0.86,126,0.88,0.90,0.11
13,Midnight Orchard,The Cedar Boys,blues,lonely,0.47,84,0.33,0.54,0.77
14,Ocean Echo,Solstice Choir,classical,dreamy,0.22,68,0.63,0.25,0.95
15,City of Fire,Rebel Harbor,punk,triumphant,0.88,160,0.74,0.79,0.08
16,Sunlit Streets,Elena Cruz,reggaeton,hopeful,0.74,100,0.82,0.86,0.23
17,Velvet Rain,North & Noon,indie folk,melancholy,0.51,88,0.41,0.57,0.73
18,Starline Pulse,Pixel Parade,electronic,dreamy,0.69,122,0.62,0.75,0.17
